metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.s3.bucket_size_bytes,gauge,,,,"The amount of data in bytes stored in a bucket in the STANDARD storage class, INTELLIGENT_TIERING storage class, Standard-Infrequent Access (STANDARD_IA) storage class, OneZone-Infrequent Access (ONEZONE_IA), Reduced Redundancy Storage (RRS) class, Deep Archive Storage (S3 Glacier Deep Archive) class or, Glacier (GLACIER) storage class. This value is calculated by summing the size of all objects and metadata in the bucket (both current and noncurrent objects), including the size of all parts for all incomplete multipart uploads to the bucket.",,s3,
aws.s3.number_of_objects,count,,,,The total number of objects stored in a bucket for all storage classes. This value is calculated by counting all objects in the bucket (both current and noncurrent objects) and the total number of parts for all incomplete multipart uploads to the bucket.,,s3,
aws.s3.all_requests,count,,,,"The total number of HTTP requests made to an Amazon S3 bucket, regardless of type. If you're using a metrics configuration with a filter, then this metric only returns the HTTP requests made to the objects in the bucket that meet the filter's requirements.",,s3,
aws.s3.get_requests,count,,,,The number of HTTP GET requests made for objects in an Amazon S3 bucket. This doesn't include list operations.,,s3,
aws.s3.put_requests,count,,,,The number of HTTP PUT requests made for objects in an Amazon S3 bucket.,,s3,
aws.s3.head_requests,count,,,,The number of HTTP HEAD requests made to an Amazon S3 bucket.,,s3,
aws.s3.post_requests,count,,,,The number of HTTP POST requests made to an Amazon S3 bucket.,,s3,
aws.s3.list_requests,count,,,,The number of HTTP requests that list the contents of a bucket.,,s3,
aws.s3.bytes_downloaded,gauge,,,,"The number of bytes downloaded for requests made to an Amazon S3 bucket, where the response includes a body.",,s3,
aws.s3.bytes_uploaded,gauge,,,,"The number of bytes uploaded that contain a request body, made to an Amazon S3 bucket.",,s3,
aws.s3.first_byte_latency,gauge,,,,The per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.minimum,gauge,,,,The minimum per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.maximum,gauge,,,,The maximum per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.p50,gauge,,,,The p50 per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.p90,gauge,,,,The p90 per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.p95,gauge,,,,The p95 per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.p99,gauge,,,,The p99 per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.first_byte_latency.p99.99,gauge,,,,The p99.99 per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.replication_latency,gauge,,,,The maximum number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.minimum,gauge,,,,The minimum number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.maximum,gauge,,,,The maximum number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.p50,gauge,,,,The p50 number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.p90,gauge,,,,The p90 number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.p95,gauge,,,,The p95 number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.p99,gauge,,,,The p99 number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.replication_latency.p99.99,gauge,,,,The p99.99 number of seconds by which the replication destination Region is behind the source Region for a given replication rule.,,s3,
aws.s3.bytes_pending_replication,gauge,,,,The total number of bytes of objects pending replication for a given replication rule.,,s3,
aws.s3.operations_pending_replication,gauge,,,,The number of operations pending replication for a given replication rule.,,s3,
aws.s3.all_requests,gauge,,,,"The total number of HTTP requests made to an Amazon S3 bucket, regardless of type. If you're using a metrics configuration with a filter, then this metric only returns the HTTP requests made to the objects in the bucket that meet the filter's requirements.",,s3,
aws.s3.get_requests,gauge,,,,The number of HTTP GET requests made for objects in an Amazon S3 bucket. This doesn't include list operations.,,s3,
aws.s3.put_requests,gauge,,,,The number of HTTP PUT requests made for objects in an Amazon S3 bucket.,,s3,
aws.s3.delete_requests,gauge,,,,"The number of HTTP DELETE requests made for objects in an Amazon S3 bucket. This also includes Delete Multiple Objects requests. This metric shows the number of requests, not the number of objects deleted.",,s3,
aws.s3.head_requests,gauge,,,,The number of HTTP HEAD requests made to an Amazon S3 bucket.,,s3,
aws.s3.post_requests,gauge,,,,The number of HTTP POST requests made to an Amazon S3 bucket.,,s3,
aws.s3.select_requests,gauge,,,,The number of Amazon S3 SELECT Object Content requests made for objects in an Amazon S3 bucket.,,s3,
aws.s3.select_bytes_scanned,gauge,,,,The number of bytes of data scanned with Amazon S3 SELECT Object Content requests in an Amazon S3 bucket.,,s3,
aws.s3.select_bytes_returned,gauge,,,,The number of bytes of data returned with Amazon S3 SELECT Object Content requests in an Amazon S3 bucket.,,s3,
aws.s3.list_requests,gauge,,,,The number of HTTP requests that list the contents of a bucket.,,s3,
aws.s3.bytes_downloaded,gauge,,,,"The number of bytes downloaded for requests made to an Amazon S3 bucket, where the response includes a body.",,s3,
aws.s3.bytes_uploaded,gauge,,,,"The number of bytes uploaded that contain a request body, made to an Amazon S3 bucket.",,s3,
aws.s3.4xx_errors,gauge,,,,"The number of HTTP 4xx client error status code requests made to an Amazon S3 bucket with a value of either 0 or 1. The average statistic shows the error rate, and the sum statistic shows the count of that type of error, during each period.",,s3,
aws.s3.5xx_errors,count,,,,"The number of HTTP 5xx server error status code requests made to an Amazon S3 bucket with a value of either 0 or 1. The average statistic shows the error rate, and the sum statistic shows the count of that type of error, during each period.",,s3,
aws.s3.first_byte_latency,gauge,,,,The per-request time from the complete request being received by an Amazon S3 bucket to when the response starts to be returned.,,s3,
aws.s3.total_request_latency,gauge,,,,"The elapsed per-request time from the first byte received to the last byte sent to an Amazon S3 bucket. This includes the time taken to receive the request body and send the response body, which is not included in FirstByteLatency .",,s3,
